,play_level,match_result,text_relay,player_name_A,player_name_B,team_name_A,team_name_B,birth_date_A,birth_date_B,weight_A,height_A,weight_B,height_B,specialized_technique_A,specialized_technique_B,first_learning_year_A,first_learning_year_B,pro_debut_year_A,pro_debut_year_B
10,1조 32강,승리자 홍 이민섭,"1라운드 경기시작
35초
청 김태우
청 김태우 손기술(오금당기기) 공격시도
35초
홍 이민섭
홍 이민섭 기술방어
13초
청 김태우
청 김태우 다리기술(밭다리걸기) 공격시도
13초
홍 이민섭
홍 이민섭 기술방어
9초
청 김태우
청 김태우 다리기술(덧걸이) 공격시도
9초
홍 이민섭
홍 이민섭 기술방어
4초
청 김태우
청 김태우 허리기술(잡채기) 공격시도
4초
홍 이민섭
홍 이민섭 기술방어
1라운드 연장 경기시작
30초
청 김태우
청 김태우 경고 (장기전)
28초
청 김태우
청 김태우 혼합기술(밀어치기) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
60초
청 김태우
청 김태우 경고 (지시불응)
35초
홍 이민섭
홍 이민섭 허리기술(들배지기) 공격시도
35초
청 김태우
청 김태우 기술방어
34초
청 김태우
청 김태우 다리기술(빗장걸이) 공격시도
34초
홍 이민섭
홍 이민섭 기술방어
32초
홍 이민섭
홍 이민섭 허리기술(들배지기) 공격시도
32초
청 김태우
청 김태우 기술방어
17초
홍 이민섭
홍 이민섭 허리기술(들배지기) 공격시도
17초
청 김태우
청 김태우 기술방어
16초
청 김태우
청 김태우 다리기술(안다리걸기) 공격시도
16초
홍 이민섭
홍 이민섭 기술방어
14초
홍 이민섭
홍 이민섭 혼합기술(밀어치기) 승리기술
2라운드 경기종료
홍 승
3라운드 경기시작
60초
청 김태우
청 김태우 경고 (지시불응)
3라운드 연장 경기시작
30초
청 김태우
청 김태우 손기술(오금당기기) 공격시도
30초
홍 이민섭
홍 이민섭 기술방어
24초
홍 이민섭
홍 이민섭 다리기술(덧걸이) 승리기술
3라운드 경기종료
홍 승
경기종료 
홍 승",김태우,이민섭,창원특례시청씨름단,문경시청씨름단,1997 년 12 월 31 일,1988 년 09 월 09 일,90kg,170cm,94kg,188cm,빗장걸이,들배지기,2010년,2000년,2021년,2010년
11,1조 32강,승리자 청 김명기,"1라운드 경기시작
60초
청 김명기
청 김명기 허리기술(잡채기) 공격시도
60초
홍 이병용
홍 이병용 기술방어
59초
청 김명기
청 김명기 허리기술(들배지기) 공격시도
59초
홍 이병용
홍 이병용 기술방어
54초
청 김명기
청 김명기 허리기술(들배지기) 공격시도
54초
홍 이병용
홍 이병용 기술방어
49초
홍 이병용
홍 이병용 손기술(오금당기기) 공격시도
49초
청 김명기
청 김명기 기술방어
46초
홍 이병용
홍 이병용 손기술(뒷무릎치기) 공격시도
46초
청 김명기
청 김명기 기술방어
45초
타임 아웃 -장외
44초
청 김명기
청 김명기 허리기술(들배지기) 공격시도
44초
홍 이병용
홍 이병용 기술방어
41초
홍 이병용
홍 이병용 다리기술(호미걸이) 승리기술
41초
청 김명기
비디오판독(감독) 판정유지
1라운드 경기종료
홍 승
2라운드 경기시작
56초
청 김명기
청 김명기 허리기술(들배지기) 승리기술
2라운드 경기종료
청 승
3라운드 경기시작
60초
청 김명기
청 김명기 허리기술(들배지기) 공격시도
60초
홍 이병용
홍 이병용 기술방어
57초
청 김명기
청 김명기 허리기술(잡채기) 공격시도
57초
홍 이병용
홍 이병용 기술방어
54초
타임 아웃 -그대로
51초
청 김명기
청 김명기 허리기술(왼배지기) 공격시도
51초
홍 이병용
홍 이병용 기술방어
50초
청 김명기
청 김명기 허리기술(들배지기) 공격시도
50초
홍 이병용
홍 이병용 기술방어
45초
홍 이병용
홍 이병용 손기술(오금당기기) 공격시도
45초
청 김명기
청 김명기 기술방어
41초
타임 아웃 -장외
40초
청 김명기
청 김명기 허리기술(잡채기) 승리기술
3라운드 경기종료
청 승
경기종료 
청 승",김명기,이병용,부산갈매기씨름단,MG새마을금고씨름단,1989 년 06 월 07 일,2000 년 12 월 26 일,95kg,190cm,85kg,180cm,돌림배지기,잡채기,2000년,2012년,2012년,2023년
12,1조 32강,승리자 청 홍준호,"1라운드 경기시작
58초
청 홍준호
청 홍준호 허리기술(들배지기) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
60초
홍 유혁
홍 유혁 허리기술(들배지기) 공격시도
60초
청 홍준호
청 홍준호 기술방어
58초
청 홍준호
청 홍준호 다리기술(덧걸이) 공격시도
58초
홍 유혁
홍 유혁 기술방어
55초
청 홍준호
청 홍준호 혼합기술(밀어치기) 승리기술
2라운드 경기종료
청 승
경기종료 
청 승",홍준호,유혁,증평군청인삼씨름단,정읍시청단풍미인씨름단,2004 년 01 월 23 일,1998 년 11 월 24 일,90kg,187cm,92kg,184cm,들배지기,들배지기,2013년,2010년,2023년,2021년
13,1조 16강,승리자 청 김기수,"1라운드 경기시작
59초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
59초
홍 정재욱
홍 정재욱 기술방어
52초
청 김기수
청 김기수 손기술(앞무릎치기) 공격시도
52초
홍 정재욱
홍 정재욱 기술방어
52초
타임 아웃 -장외
52초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
52초
홍 정재욱
홍 정재욱 기술방어
30초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
30초
홍 정재욱
홍 정재욱 기술방어
23초
청 김기수
청 김기수 혼합기술(밀어치기) 공격시도
23초
홍 정재욱
홍 정재욱 기술방어
19초
홍 정재욱
홍 정재욱 다리기술(안다리걸기) 공격시도
19초
청 김기수
청 김기수 기술방어
1라운드 연장 경기시작
30초
청 김기수
청 김기수 경고 (장기전)
2초
청 김기수
청 김기수 손기술(오금당기기) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
59초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
59초
홍 정재욱
홍 정재욱 기술방어
50초
청 김기수
청 김기수 혼합기술(밀어치기) 공격시도
50초
홍 정재욱
홍 정재욱 기술방어
2라운드 연장 경기시작
30초
홍 정재욱
홍 정재욱 경고 (장기전)
25초
홍 정재욱
홍 정재욱 손기술(앞무릎치기) 공격시도
25초
청 김기수
청 김기수 기술방어
17초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
17초
홍 정재욱
홍 정재욱 기술방어
2라운드 경기종료
청 승
경기종료 
청 승",김기수,정재욱,수원특례시청씨름단,구미시청씨름단,1996 년 03 월 05 일,1987 년 06 월 18 일,90kg,183cm,82kg,175cm,잡채기,안다리,2007년,1997년,2017년,2010년
14,1조 16강,승리자 홍 김민정,"1라운드 경기시작
60초
홍 김민정
홍 김민정 경고 (지시불응)
60초
청 김기선
청 김기선 경고 (지시불응)
59초
홍 김민정
홍 김민정 허리기술(잡채기) 공격시도
59초
청 김기선
청 김기선 기술방어
58초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
58초
청 김기선
청 김기선 기술방어
57초
홍 김민정
홍 김민정 다리기술(호미걸이) 공격시도
57초
청 김기선
청 김기선 기술방어
56초
홍 김민정
홍 김민정 혼합기술(밀어치기) 승리기술
1라운드 경기종료
홍 승
2라운드 경기시작
60초
홍 김민정
홍 김민정 경고 (지시불응)
60초
청 김기선
청 김기선 손기술(오금당기기) 공격시도
60초
홍 김민정
홍 김민정 기술방어
59초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
59초
청 김기선
청 김기선 기술방어
58초
청 김기선
청 김기선 다리기술(안다리걸기) 공격시도
58초
홍 김민정
홍 김민정 기술방어
58초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
58초
청 김기선
청 김기선 기술방어
56초
홍 김민정
홍 김민정 혼합기술(밀어치기) 공격시도
56초
청 김기선
청 김기선 기술방어
54초
홍 김민정
홍 김민정 허리기술(잡채기) 승리기술
2라운드 경기종료
홍 승
경기종료 
홍 승",김기선,김민정,연수구청씨름단,영월군청씨름단,1992 년 01 월 12 일,1988 년 04 월 09 일,92kg,172cm,93kg,187cm,오금당기기,들배지기,2002년,2000년,2015년,2011년
15,1조 16강,승리자 승 자 없음,"경기종료 상대팀 기권 으로
홍 승",승자없음,이민호,기권,증평군청인삼씨름단,2020 년 10 월 01 일,1994 년 09 월 22 일,80kg,180cm,93kg,180cm,기술,들배지기,2020년,2003년,2020년,2017년
16,1조 16강,승리자 청 김동휘,"경기종료 상대팀 기권 으로
청 승",김동휘,신현준,문경시청씨름단,문경시청씨름단,1980 년 04 월 22 일,2003 년 11 월 15 일,90kg,182cm,90kg,180cm,들배지기,들배지기,1992년,2013년,2003년,2022년
17,1조 16강,승리자 홍 김철겸,"1라운드 경기시작
46초
청 오성민
청 오성민 손기술(앞무릎치기) 공격시도
46초
홍 김철겸
홍 김철겸 기술방어
45초
청 오성민
청 오성민 손기술(오금당기기) 공격시도
45초
홍 김철겸
홍 김철겸 기술방어
44초
청 오성민
청 오성민 다리기술(빗장걸이) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
60초
청 오성민
청 오성민 경고 (지시불응)
56초
청 오성민
청 오성민 다리기술(빗장걸이) 공격시도
56초
홍 김철겸
홍 김철겸 기술방어
54초
홍 김철겸
홍 김철겸 허리기술(왼배지기) 공격시도
54초
청 오성민
청 오성민 기술방어
53초
홍 김철겸
홍 김철겸 손기술(오금당기기) 공격시도
53초
청 오성민
청 오성민 기술방어
52초
타임 아웃 -장외
42초
청 오성민
청 오성민 허리기술(잡채기) 공격시도
42초
홍 김철겸
홍 김철겸 기술방어
41초
청 오성민
청 오성민 허리기술(왼배지기) 공격시도
41초
홍 김철겸
홍 김철겸 기술방어
36초
타임 아웃 -그대로
31초
홍 김철겸
홍 김철겸 다리기술(차돌리기) 공격시도
31초
청 오성민
청 오성민 기술방어
17초
홍 김철겸
홍 김철겸 허리기술(잡채기) 공격시도
17초
청 오성민
청 오성민 기술방어
15초
홍 김철겸
홍 김철겸 허리기술(잡채기) 공격시도
15초
청 오성민
청 오성민 기술방어
2라운드 경기종료
홍 승
3라운드 경기시작
60초
청 오성민
청 오성민 경고 (지시불응)
49초
타임 아웃 -샅바 놓침
48초
청 오성민
청 오성민 손기술(오금당기기) 공격시도
48초
홍 김철겸
홍 김철겸 기술방어
37초
타임 아웃 -그대로
25초
홍 김철겸
홍 김철겸 손기술(오금당기기) 승리기술
3라운드 경기종료
홍 승
경기종료 
홍 승",오성민,김철겸,MG새마을금고씨름단,울주군청해뜨미씨름단,2000 년 02 월 26 일,1997 년 07 월 06 일,95kg,183cm,93kg,178cm,오금당기기,장기전,2013년,2008년,2023년,2020년
18,1조 16강,승리자 청 임경택,"1라운드 경기시작
57초
홍 왕덕현
홍 왕덕현 허리기술(잡채기) 공격시도
57초
청 임경택
청 임경택 기술방어
35초
타임 아웃 -그대로
12초
홍 왕덕현
홍 왕덕현 다리기술(왼안다리걸기) 공격시도
12초
청 임경택
청 임경택 기술방어
10초
청 임경택
청 임경택 혼합기술(측면(자반)뒤집기) 승리기술
10초
비디오판독(심판) 판정번복 - 상대 선수 승리판정
1라운드 경기종료
청 승
2라운드 경기시작
59초
홍 왕덕현
홍 왕덕현 허리기술(들배지기) 공격시도
59초
청 임경택
청 임경택 기술방어
57초
홍 왕덕현
홍 왕덕현 허리기술(들배지기) 공격시도
57초
청 임경택
청 임경택 허리기술(들배지기) 되치기
2라운드 경기종료
청 승
경기종료 
청 승
",임경택,왕덕현,태안군청씨름단,창원특례시청씨름단,1996 년 08 월 31 일,1999 년 09 월 25 일,90kg,182cm,97kg,175cm,들배지기,대구광역시,2000년,2010년,2019년,2022년
19,1조 16강,승리자 청 이민섭,"1라운드 경기시작
60초
청 이민섭
청 이민섭 경고 (지시불응)
60초
홍 김명기
홍 김명기 경고 (지시불응)
60초
청 이민섭
청 이민섭 경고 (지시불응)
60초
홍 김명기
홍 김명기 경고 (지시불응)
1라운드 경기종료
 동시 경고 패
2라운드 경기시작
60초
청 이민섭
청 이민섭 경고 (지시불응)
59초
청 이민섭
청 이민섭 허리기술(들배지기) 공격시도
59초
홍 김명기
홍 김명기 기술방어
57초
홍 김명기
홍 김명기 허리기술(돌림배지기) 승리기술
56초
타임 아웃 -장외
56초
홍 김명기
홍 김명기 경고 (지시불응)
54초
청 이민섭
청 이민섭 다리기술(밭다리걸기) 공격시도
54초
홍 김명기
홍 김명기 기술방어
53초
청 이민섭
청 이민섭 허리기술(들배지기) 공격시도
53초
홍 김명기
홍 김명기 기술방어
50초
타임 아웃 -장외
43초
홍 김명기
홍 김명기 허리기술(돌림배지기) 공격시도
43초
청 이민섭
청 이민섭 기술방어
40초
청 이민섭
청 이민섭 다리기술(덧걸이) 공격시도
40초
홍 김명기
홍 김명기 기술방어
2라운드 경기종료
청 승
경기종료 
청 승
",이민섭,김명기,문경시청씨름단,부산갈매기씨름단,1988 년 09 월 09 일,1989 년 06 월 07 일,94kg,188cm,95kg,190cm,들배지기,돌림배지기,2000년,2000년,2010년,2012년
20,1조 16강,승리자 홍 유영도,"1라운드 경기시작
60초
홍 유영도
홍 유영도 경고 (지시불응)
59초
홍 유영도
홍 유영도 허리기술(들배지기) 공격시도
59초
청 홍준호
청 홍준호 기술방어
58초
홍 유영도
홍 유영도 다리기술(안다리걸기) 승리기술
1라운드 경기종료
홍 승
2라운드 경기시작
58초
청 홍준호
청 홍준호 허리기술(들배지기) 공격시도
58초
홍 유영도
홍 유영도 기술방어
56초
홍 유영도
홍 유영도 다리기술(안다리걸기) 공격시도
56초
청 홍준호
청 홍준호 기술방어
54초
청 홍준호
청 홍준호 허리기술(들배지기) 공격시도
54초
홍 유영도
홍 유영도 기술방어
53초
청 홍준호
청 홍준호 다리기술(빗장걸이) 공격시도
53초
홍 유영도
홍 유영도 기술방어
51초
홍 유영도
홍 유영도 허리기술(잡채기) 승리기술
2라운드 경기종료
홍 승
경기종료 
홍 승
",홍준호,유영도,증평군청인삼씨름단,구미시청씨름단,2004 년 01 월 23 일,1984 년 03 월 17 일,90kg,187cm,93kg,180cm,들배지기,들배지기,2013년,1995년,2023년,2007년
21,1조 8강,승리자 청 김기수,"1라운드 경기시작
60초
청 김기수
청 김기수 경고 (지시불응)
60초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
60초
홍 김민정
홍 김민정 기술방어
58초
홍 김민정
홍 김민정 다리기술(호미걸이) 공격시도
58초
청 김기수
청 김기수 기술방어
57초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
57초
홍 김민정
홍 김민정 기술방어
55초
홍 김민정
홍 김민정 다리기술(호미걸이) 승리기술
1라운드 경기종료
홍 승
2라운드 경기시작
59초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
59초
청 김기수
청 김기수 기술방어
58초
청 김기수
청 김기수 혼합기술(밀어치기) 공격시도
58초
홍 김민정
홍 김민정 기술방어
57초
청 김기수
청 김기수 손기술(앞무릎치기) 승리기술
2라운드 경기종료
청 승
3라운드 경기시작
60초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
60초
청 김기수
청 김기수 기술방어
58초
청 김기수
청 김기수 허리기술(잡채기) 공격시도
58초
홍 김민정
홍 김민정 기술방어
57초
청 김기수
청 김기수 허리기술(들배지기) 공격시도
57초
홍 김민정
홍 김민정 기술방어
56초
홍 김민정
홍 김민정 다리기술(호미걸이) 공격시도
56초
청 김기수
청 김기수 기술방어
53초
청 김기수
청 김기수 다리기술(호미걸이) 승리기술
3라운드 경기종료
청 승
경기종료 
청 승
",김기수,김민정,수원특례시청씨름단,영월군청씨름단,1996 년 03 월 05 일,1988 년 04 월 09 일,90kg,183cm,93kg,187cm,잡채기,들배지기,2007년,2000년,2017년,2011년
22,1조 8강,승리자 홍 김동휘,"1라운드 경기시작
57초
청 이민호
청 이민호 허리기술(잡채기) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
58초
홍 김동휘
홍 김동휘 허리기술(잡채기) 승리기술
2라운드 경기종료
홍 승
3라운드 경기시작
59초
청 이민호
청 이민호 허리기술(들배지기) 공격시도
59초
홍 김동휘
홍 김동휘 기술방어
57초
홍 김동휘
홍 김동휘 허리기술(잡채기) 승리기술
3라운드 경기종료
홍 승
경기종료 
홍 승
",이민호,김동휘,증평군청인삼씨름단,문경시청씨름단,1994 년 09 월 22 일,1980 년 04 월 22 일,93kg,180cm,90kg,182cm,들배지기,들배지기,2003년,1992년,2017년,2003년
23,2조 32강,승리자 홍 임성길,"1라운드 경기시작
59초
청 김준환
청 김준환 허리기술(들배지기) 공격시도
59초
홍 임성길
홍 임성길 기술방어
58초
청 김준환
청 김준환 다리기술(안다리걸기) 공격시도
58초
홍 임성길
홍 임성길 기술방어
53초
청 김준환
청 김준환 허리기술(들배지기) 공격시도
53초
홍 임성길
홍 임성길 허리기술(들배지기) 되치기
1라운드 경기종료
홍 승
2라운드 경기시작
58초
홍 임성길
홍 임성길 손기술(뒷무릎치기) 공격시도
58초
청 김준환
청 김준환 기술방어
55초
청 김준환
청 김준환 다리기술(안다리걸기) 공격시도
55초
홍 임성길
홍 임성길 기술방어
53초
홍 임성길
홍 임성길 손기술(뒷무릎치기) 승리기술
2라운드 경기종료
홍 승
경기종료 
홍 승
",김준환,임성길,연수구청씨름단,의성군청마늘씨름단,1998 년 05 월 12 일,1997 년 12 월 16 일,94kg,181cm,90kg,180cm,들배지기,밭다리,2010년,2007년,2021년,2020년
24,2조 32강,승리자 홍 최영원,"1라운드 경기시작
60초
홍 최영원
홍 최영원 경고 (지시불응)
60초
청 임태혁
청 임태혁 경고 (지시불응)
58초
홍 최영원
홍 최영원 허리기술(들배지기) 공격시도
58초
청 임태혁
청 임태혁 기술방어
51초
홍 최영원
홍 최영원 허리기술(잡채기) 공격시도
51초
청 임태혁
청 임태혁 기술방어
50초
청 임태혁
청 임태혁 허리기술(들배지기) 공격시도
50초
홍 최영원
홍 최영원 기술방어
48초
청 임태혁
청 임태혁 다리기술(호미걸이) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
59초
청 임태혁
청 임태혁 허리기술(들배지기) 공격시도
59초
홍 최영원
홍 최영원 기술방어
58초
청 임태혁
청 임태혁 다리기술(안다리걸기) 공격시도
58초
홍 최영원
홍 최영원 기술방어
56초
홍 최영원
홍 최영원 허리기술(들배지기) 공격시도
56초
청 임태혁
청 임태혁 기술방어
52초
홍 최영원
홍 최영원 허리기술(잡채기) 승리기술
2라운드 경기종료
홍 승
3라운드 경기시작
60초
청 임태혁
청 임태혁 경고 (지시불응)
60초
홍 최영원
홍 최영원 경고 (지시불응)
59초
홍 최영원
홍 최영원 허리기술(들배지기) 공격시도
59초
청 임태혁
청 임태혁 기술방어
51초
홍 최영원
홍 최영원 다리기술(호미걸이) 승리기술
3라운드 경기종료
홍 승
경기종료 
홍 승",임태혁,최영원,수원특례시청씨름단,영암군민속씨름단,1989 년 01 월 14 일,1991 년 01 월 05 일,90kg,185cm,90kg,180cm,배지기,들배지기,2000년,2001년,2010년,2009년
